name,total_ops,threads,spent,throughput,latency
std::sync::RwLock<StdHashMap>,33554432,1,3483532542,9632300.42936111,103
std::sync::RwLock<StdHashMap>,33554432,2,3823877667,8774975.279563513,227
std::sync::RwLock<StdHashMap>,33554432,4,4097743791,8188513.902137226,488
std::sync::RwLock<StdHashMap>,33554432,6,6043054750,5552561.310155266,1080
std::sync::RwLock<StdHashMap>,33554432,8,6357903417,5277593.854332688,1515
std::sync::RwLock<StdHashMap>,33554432,10,6791701125,4940504.798788536,2024
std::sync::RwLock<StdHashMap>,33554432,12,7132900791,4704177.582609532,2550
std::sync::RwLock<StdHashMap>,33554432,14,7316207584,4586314.9199567605,3052
Whirlwind,33554432,1,3792758333,8846973.377673415,113
Whirlwind,33554432,2,4057374375,8269986.670875053,241
Whirlwind,33554432,4,1449239708,23153127.68120759,172
Whirlwind,33554432,6,1016256708,33017673.32590143,181
Whirlwind,33554432,8,842396458,39832114.29884716,200
Whirlwind,33554432,10,690269834,48610601.74911251,205
Whirlwind,33554432,12,743826458,45110565.29263712,266
Whirlwind,33554432,14,665653333,50408268.59346621,277
DashMap,33554432,1,2978000875,11267435.23874888,88
DashMap,33554432,2,3096797042,10835205.389607836,184
DashMap,33554432,4,1629023583,20597879.82823819,194
DashMap,33554432,6,1333240958,25167567.646837924,238
DashMap,33554432,8,937155667,35804544.732054636,223
DashMap,33554432,10,810836125,41382507.47029802,241
DashMap,33554432,12,746268125,44962970.91611678,266
DashMap,33554432,14,721968833,46476288.81785815,301
Flurry,33554432,1,6217404125,5396855.556658865,185
Flurry,33554432,2,6013292542,5580043.173625462,358
Flurry,33554432,4,3691565625,9089485.440205334,440
Flurry,33554432,6,2727349333,12302946.158749366,487
Flurry,33554432,8,2473950584,13563097.103478767,589
Flurry,33554432,10,2261885583,14834716.774442611,674
Flurry,33554432,12,2288707667,14660864.069190012,818
Flurry,33554432,14,2402579208,13966004.487290975,1002
Contrie,33554432,1,11618745083,2887956.6390603804,346
Contrie,33554432,2,11913509042,2816502.835705826,710
Contrie,33554432,4,5890761583,5696111.025242286,702
Contrie,33554432,6,4125377791,8133662.830396519,737
Contrie,33554432,8,3379919917,9927581.96170007,805
Contrie,33554432,10,2411804666,13912582.753084365,718
Contrie,33554432,12,2073544083,16182164.7656767,741
Contrie,33554432,14,2088591750,16065577.200522793,871
SccMap,33554432,1,4560406416,7357772.299038007,135
SccMap,33554432,2,4194939084,7998788.856787128,250
SccMap,33554432,4,2265411417,14811628.363926444,270
SccMap,33554432,6,1511780166,22195311.695867296,270
SccMap,33554432,8,1091909625,30730045.08042504,260
SccMap,33554432,10,917604500,36567423.11093723,273
SccMap,33554432,12,778302292,43112338.66956157,278
SccMap,33554432,14,678714542,49438209.91535496,283
CHashMap,33554432,1,2374141250,14133292.195651796,70
CHashMap,33554432,2,2450917459,13690559.784779761,146
CHashMap,33554432,4,2554006084,13137960.872610044,304
CHashMap,33554432,6,3385264334,9911908.994223906,605
CHashMap,33554432,8,5701931042,5884748.825063044,1359
CHashMap,33554432,10,6647040542,5048025.777484419,1980
CHashMap,33554432,12,9852920958,3405531.430022865,3523
CHashMap,33554432,14,11202940916,2995144.9580598683,4674
