name,total_ops,threads,spent,throughput,latency
std::sync::RwLock<StdHashMap>,33554432,1,2143215208,15656118.841799485,63
std::sync::RwLock<StdHashMap>,33554432,2,2219320833,15119234.452750258,132
std::sync::RwLock<StdHashMap>,33554432,4,2746677750,12216370.122050175,327
std::sync::RwLock<StdHashMap>,33554432,6,3896292333,8611887.69533736,696
std::sync::RwLock<StdHashMap>,33554432,8,4437742667,7561148.655490528,1058
std::sync::RwLock<StdHashMap>,33554432,10,4952410916,6775373.160493212,1475
std::sync::RwLock<StdHashMap>,33554432,12,5163690084,6498149.860691756,1846
std::sync::RwLock<StdHashMap>,33554432,14,5354510875,6266572.761419595,2234
Whirlwind,33554432,1,2769117291,12117374.771034934,82
Whirlwind,33554432,2,3195639583,10500067.71054569,190
Whirlwind,33554432,4,1124967666,29827019.046074517,134
Whirlwind,33554432,6,776837333,43193639.87106423,138
Whirlwind,33554432,8,670855459,50017379.37709768,159
Whirlwind,33554432,10,561257000,59784433.86897624,167
Whirlwind,33554432,12,646119250,51932258.634919174,231
Whirlwind,33554432,14,582686250,57585762.49225034,243
DashMap,33554432,1,2296496166,14611142.181197094,68
DashMap,33554432,2,2181702292,15379931.589676308,130
DashMap,33554432,4,1338568166,25067406.24220104,159
DashMap,33554432,6,1034699792,32429147.332813997,185
DashMap,33554432,8,820892083,40875570.24228238,195
DashMap,33554432,10,701636792,47823079.38036408,209
DashMap,33554432,12,593934333,56495188.33254585,212
DashMap,33554432,14,592364333,56644922.94812085,247
Flurry,33554432,1,5851646791,5734186.152795086,174
Flurry,33554432,2,5507423541,6092582.448072882,328
Flurry,33554432,4,3160141958,10618014.141755844,376
Flurry,33554432,6,2375175083,14127140.453839123,424
Flurry,33554432,8,2223936584,15087854.681381509,530
Flurry,33554432,10,2352928750,14260708.914368952,701
Flurry,33554432,12,2484283750,13506682.559912892,888
Flurry,33554432,14,2572453833,13043745.06922395,1073
Contrie,33554432,1,8851528583,3790806.490129141,263
Contrie,33554432,2,8054908791,4165712.2222776012,480
Contrie,33554432,4,4203617584,7982275.10697367,501
Contrie,33554432,6,2974037000,11282452.773788625,531
Contrie,33554432,8,2450935125,13690461.10512615,584
Contrie,33554432,10,2032271167,16510804.534776926,605
Contrie,33554432,12,1700044834,19737380.643691897,607
Contrie,33554432,14,1508406417,22244954.42464032,629
SccMap,33554432,1,3226828292,10398579.956419943,96
SccMap,33554432,2,3209685291,10454119.004778154,191
SccMap,33554432,4,1645198416,20395370.961747874,196
SccMap,33554432,6,1182560625,28374386.302604992,211
SccMap,33554432,8,916597958,36607578.82683391,218
SccMap,33554432,10,666791959,50322190.522996396,198
SccMap,33554432,12,596399375,56261682.031440765,213
SccMap,33554432,14,534770792,62745446.277103335,223
CHashMap,33554432,1,2637066709,12724149.861466398,78
CHashMap,33554432,2,2360051375,14217670.155591423,140
CHashMap,33554432,4,2671766875,12558892.137623347,318
CHashMap,33554432,6,3579899125,9373010.475539587,640
CHashMap,33554432,8,5622563625,5967817.216119098,1340
CHashMap,33554432,10,6992873333,4798375.489178905,2084
CHashMap,33554432,12,10051047083,3338401.6334728776,3594
CHashMap,33554432,14,11580186250,2897572.7398166847,4831
