name,total_ops,threads,spent,throughput,latency
std::sync::RwLock<StdHashMap>,33554432,1,4151997459,8081515.543143302,123
std::sync::RwLock<StdHashMap>,33554432,2,4070890084,8242529.5961393,242
std::sync::RwLock<StdHashMap>,33554432,4,4447226875,7545023.661514907,530
std::sync::RwLock<StdHashMap>,33554432,6,5888013041,5698769.986810564,1052
std::sync::RwLock<StdHashMap>,33554432,8,6790618292,4941292.612416508,1619
std::sync::RwLock<StdHashMap>,33554432,10,7266773666,4617514.393904339,2165
std::sync::RwLock<StdHashMap>,33554432,12,7503865625,4471619.5194393555,2683
std::sync::RwLock<StdHashMap>,33554432,14,7732148083,4339600.28181214,3226
Whirlwind,33554432,1,4216191375,7958469.864285987,125
Whirlwind,33554432,2,5105755375,6571883.988860316,304
Whirlwind,33554432,4,1627183250,20621175.88784177,193
Whirlwind,33554432,6,1114935417,30095404.171737775,199
Whirlwind,33554432,8,896436083,37430925.23418649,213
Whirlwind,33554432,10,817010583,41069764.20891723,243
Whirlwind,33554432,12,812290208,41308428.526569165,290
Whirlwind,33554432,14,724345875,46323770.39490975,302
DashMap,33554432,1,3826368417,8769263.26563917,114
DashMap,33554432,2,3445861917,9737602.030557511,205
DashMap,33554432,4,1933775583,17351771.474921968,230
DashMap,33554432,6,1390503625,24131135.940044746,248
DashMap,33554432,8,1051723791,31904224.55699683,250
DashMap,33554432,10,890352625,37686677.23083312,265
DashMap,33554432,12,819605667,40939726.68932266,293
DashMap,33554432,14,759618167,44172761.339448065,316
Flurry,33554432,1,6458796291,5195152.546730166,192
Flurry,33554432,2,5935701709,5652984.877781701,353
Flurry,33554432,4,3693605667,9084465.160909664,440
Flurry,33554432,6,2729682375,12292430.909658492,488
Flurry,33554432,8,2364447250,14191237.296581686,563
Flurry,33554432,10,2378707917,14106158.9614241,708
Flurry,33554432,12,2399580916,13983455.100957302,858
Flurry,33554432,14,2494113375,13453450.96832256,1040
Contrie,33554432,1,9808430042,3420978.877997691,292
Contrie,33554432,2,10166340417,3300541.8492470295,605
Contrie,33554432,4,5056863166,6635424.154959228,602
Contrie,33554432,6,3486944291,9622875.847660052,623
Contrie,33554432,8,2803121084,11970382.653652076,668
Contrie,33554432,10,2478183958,13539927.853895018,738
Contrie,33554432,12,2006323500,16724337.824882178,717
Contrie,33554432,14,1864639583,17995130.161301527,777
SccMap,33554432,1,4367411000,7682911.454864221,130
SccMap,33554432,2,4980319916,6737404.939028419,296
SccMap,33554432,4,2222010875,15100930.592880199,264
SccMap,33554432,6,1501729542,22343858.239155553,268
SccMap,33554432,8,1085681375,30906334.743008737,258
SccMap,33554432,10,857740708,39119551.73287636,255
SccMap,33554432,12,760097166,44144924.49245627,271
SccMap,33554432,14,666946125,50310558.44278277,278
CHashMap,33554432,1,2595581291,12927521.136150768,77
CHashMap,33554432,2,2639164750,12714034.620233541,157
CHashMap,33554432,4,2528907583,13268350.423543334,301
CHashMap,33554432,6,2932385000,11442710.285313832,524
CHashMap,33554432,8,5006372292,6702344.5407004105,1193
CHashMap,33554432,10,6876338458,4879694.652168036,2049
CHashMap,33554432,12,8688601000,3861891.2296697707,3107
CHashMap,33554432,14,11479123500,2923083.1082181493,4789
