name,total_ops,threads,spent,throughput,latency
std::sync::RwLock<StdHashMap>,33554432,1,1402586208,23923258.19875736,41
std::sync::RwLock<StdHashMap>,33554432,2,1456291208,23041018.043418687,86
std::sync::RwLock<StdHashMap>,33554432,4,1805765792,18581829.464626387,215
std::sync::RwLock<StdHashMap>,33554432,6,2910740042,11527801.011369053,520
std::sync::RwLock<StdHashMap>,33554432,8,3538722208,9482075.7402611,843
std::sync::RwLock<StdHashMap>,33554432,10,3939641792,8517127.640420767,1174
std::sync::RwLock<StdHashMap>,33554432,12,3892529584,8620212.45462678,1392
std::sync::RwLock<StdHashMap>,33554432,14,3727431750,9002024.517283248,1555
Whirlwind,33554432,1,1675872125,20022071.791426208,49
Whirlwind,33554432,2,1673813541,20046696.467728004,99
Whirlwind,33554432,4,558996375,60026206.78890807,66
Whirlwind,33554432,6,500019125,67106297.1841327,89
Whirlwind,33554432,8,406531375,82538357.58679143,96
Whirlwind,33554432,10,344283292,97461691.51885535,102
Whirlwind,33554432,12,343057750,97809864.37414692,122
Whirlwind,33554432,14,348910333,96169212.62116934,145
DashMap,33554432,1,1348629791,24880387.652655672,40
DashMap,33554432,2,1246438750,26920241.36765645,74
DashMap,33554432,4,785165625,42735482.72060433,93
DashMap,33554432,6,647500250,51821496.59401676,115
DashMap,33554432,8,495386083,67733901.1964129,118
DashMap,33554432,10,448623042,74794267.92349198,133
DashMap,33554432,12,408236583,82193594.10031119,145
DashMap,33554432,14,368153041,91142618.05051883,153
Flurry,33554432,1,3331005375,10073364.7119978,99
Flurry,33554432,2,3162491625,10610125.17305876,188
Flurry,33554432,4,1617588000,20743497.10803987,192
Flurry,33554432,6,1162127959,28873267.99096484,207
Flurry,33554432,8,898905250,37328107.71769327,214
Flurry,33554432,10,702003375,47798106.3837478,209
Flurry,33554432,12,621483416,53990872.7025469,222
Flurry,33554432,14,531872000,63087419.529510856,221
Contrie,33554432,1,4114397459,8155369.609856645,122
Contrie,33554432,2,3892825000,8619558.289930834,232
Contrie,33554432,4,2142954125,15658026.277160738,255
Contrie,33554432,6,1497614375,22405255.02434497,267
Contrie,33554432,8,1046360708,32067748.476656295,249
Contrie,33554432,10,955138333,35130442.1995175,284
Contrie,33554432,12,806302959,41615166.63862324,288
Contrie,33554432,14,747380792,44896032.06179267,311
SccMap,33554432,1,2236813084,15000999.520262105,66
SccMap,33554432,2,2310149667,14524787.064369885,137
SccMap,33554432,4,1261678667,26595069.630356207,150
SccMap,33554432,6,897200791,37399021.865106665,160
SccMap,33554432,8,649000125,51701734.26391867,154
SccMap,33554432,10,505558125,66371066.63056795,150
SccMap,33554432,12,467804959,71727396.97271998,167
SccMap,33554432,14,388192125,86437693.70643467,161
CHashMap,33554432,1,2069160833,16216444.591864163,61
CHashMap,33554432,2,2031126791,16520107.040427491,121
CHashMap,33554432,4,1872315250,17921358.061896894,223
CHashMap,33554432,6,2199297209,15256888.365377814,393
CHashMap,33554432,8,3457962833,9703525.92566457,824
CHashMap,33554432,10,3831804417,8756822.725902714,1141
CHashMap,33554432,12,5905773542,5681632.009993518,2112
CHashMap,33554432,14,7023594959,4777387.106727092,2930
