name,total_ops,threads,spent,throughput,latency
std::sync::RwLock<StdHashMap>,33554432,1,2088434458,16066787.191460906,62
std::sync::RwLock<StdHashMap>,33554432,2,2018787500,16621081.713652376,120
std::sync::RwLock<StdHashMap>,33554432,4,2686261750,12491125.259852285,320
std::sync::RwLock<StdHashMap>,33554432,6,4237735417,7918010.139423483,757
std::sync::RwLock<StdHashMap>,33554432,8,4989200125,6725413.124212972,1189
std::sync::RwLock<StdHashMap>,33554432,10,5366934000,6252067.19516208,1599
std::sync::RwLock<StdHashMap>,33554432,12,5420637167,6190126.910591654,1938
std::sync::RwLock<StdHashMap>,33554432,14,5103008833,6575421.109015353,2129
Whirlwind,33554432,1,2046832125,16393348.33089939,61
Whirlwind,33554432,2,2069758584,16211761.245677723,123
Whirlwind,33554432,4,701719917,47817414.30890581,83
Whirlwind,33554432,6,589363125,56933375.327816784,105
Whirlwind,33554432,8,462469083,72554973.36672774,110
Whirlwind,33554432,10,417213333,80425119.1080703,124
Whirlwind,33554432,12,398403875,84222152.70873055,142
Whirlwind,33554432,14,357985584,93731238.07130736,149
DashMap,33554432,1,1976486458,16976808.449248683,58
DashMap,33554432,2,2099995666,15978333.92861869,125
DashMap,33554432,4,1209112416,27751292.23385628,144
DashMap,33554432,6,910960291,36834132.433111735,162
DashMap,33554432,8,648372667,51751768.24657848,154
DashMap,33554432,10,585138084,57344467.77181572,174
DashMap,33554432,12,541303625,61988190.084631346,193
DashMap,33554432,14,462796750,72503603.36367963,193
Flurry,33554432,1,3721671875,9015956.571937175,110
Flurry,33554432,2,3617322167,9276041.903624007,215
Flurry,33554432,4,1942989250,17269489.267632335,231
Flurry,33554432,6,1306239291,25687814.04080426,233
Flurry,33554432,8,969485750,34610546.88013723,231
Flurry,33554432,10,807761417,41540028.14917811,240
Flurry,33554432,12,677527125,49524854.078720465,242
Flurry,33554432,14,608441709,55148145.670598656,253
Contrie,33554432,1,6138156917,5466532.129061243,182
Contrie,33554432,2,6066862292,5530771.984761575,361
Contrie,33554432,4,2927608875,11461378.016214684,348
Contrie,33554432,6,2168754584,15471751.505471399,387
Contrie,33554432,8,1480905375,22658052.679429296,353
Contrie,33554432,10,1215291667,27610188.493129853,362
Contrie,33554432,12,1150018500,29177297.582604103,411
Contrie,33554432,14,1079408375,31085947.42930357,450
SccMap,33554432,1,3048552750,11006675.872674339,90
SccMap,33554432,2,3181834666,10545623.994405245,189
SccMap,33554432,4,1783206375,18816908.95143867,212
SccMap,33554432,6,1276808417,26279927.006464902,228
SccMap,33554432,8,869990333,38568741.20002435,207
SccMap,33554432,10,741915083,45226782.37557815,221
SccMap,33554432,12,667159084,50294499.17525218,238
SccMap,33554432,14,519699042,64565121.90376521,216
CHashMap,33554432,1,2050865458,16361108.36481795,61
CHashMap,33554432,2,2054465375,16332439.77158778,122
CHashMap,33554432,4,1879542666,17852444.96280033,224
CHashMap,33554432,6,1872948208,17915301.585317515,334
CHashMap,33554432,8,3558958916,9428159.411773328,848
CHashMap,33554432,10,3821885541,8779549.162327988,1139
CHashMap,33554432,12,5524990291,6073211.034354015,1975
CHashMap,33554432,14,6791308750,4940790.2416452505,2833
